Time_[s],Count_Rate_Channel_1_[kCounts/s]
0.00000,500.00000
0.00100,507.00000
0.00200,526.00000
0.00300,521.00000
0.00400,522.00000
0.00501,547.00000
0.00601,584.00000
0.00701,597.00000
0.00801,546.00000
0.00901,567.00000
0.01001,602.00000
0.01101,623.00000
0.01201,669.00000
0.01302,644.00000
0.01402,544.00000
0.01502,574.00000
0.01602,577.00000
0.01702,649.00000
0.01802,730.00000
0.01902,731.00000
0.02002,532.00000
0.02102,593.00000
0.02203,516.00000
0.02303,503.00000
0.02403,546.00000
0.02503,573.00000
0.02603,532.00000
0.02703,546.00000
0.02803,628.00000
0.02903,514.00000
0.03003,488.00000
0.03104,387.00000
0.03204,577.00000
0.03304,552.00000
0.03404,565.00000
0.03504,556.00000
0.03604,582.00000
0.03704,476.00000
0.03804,412.00000
0.03905,465.00000
0.04005,384.00000
0.04105,379.00000
0.04205,410.00000
0.04305,369.00000
0.04405,382.00000
0.04505,456.00000
0.04605,428.00000
0.04705,425.00000
0.04806,391.00000
0.04906,387.00000
0.05006,403.00000
0.05106,450.00000
0.05206,402.00000
0.05306,461.00000
0.05406,457.00000
0.05506,452.00000
0.05606,383.00000
0.05707,414.00000
0.05807,506.00000
0.05907,477.00000
0.06007,489.00000
0.06107,370.00000
0.06207,416.00000
0.06307,405.00000
0.06407,407.00000
0.06508,461.00000
0.06608,491.00000
0.06708,366.00000
0.06808,361.00000
0.06908,409.00000
0.07008,440.00000
0.07108,378.00000
0.07208,387.00000
0.07308,426.00000
0.07409,664.00000
0.07509,831.00000
0.07609,718.00000
0.07709,436.00000
0.07809,397.00000
0.07909,442.00000
0.08009,609.00000
0.08109,466.00000
0.08209,400.00000
0.08310,493.00000
0.08410,586.00000
0.08510,720.00000
0.08610,542.00000
0.08710,496.00000
0.08810,381.00000
0.08910,394.00000
0.09010,423.00000
0.09111,463.00000
0.09211,453.00000
0.09311,361.00000
0.09411,419.00000
0.09511,442.00000
0.09611,429.00000
