Time_[ns],Lifetime_Decay_HyD_4_[Counts]
0.04848,19245.00000
0.14545,9974.00000
0.24242,10093.00000
0.33939,10086.00000
0.43636,10259.00000
0.53333,10076.00000
0.63030,9984.00000
0.72727,9901.00000
0.82424,9543.00000
0.92121,9391.00000
1.01818,9468.00000
1.11515,9335.00000
1.21212,9092.00000
1.30909,9184.00000
1.40606,8983.00000
1.50303,8839.00000
1.60000,8787.00000
1.69697,8807.00000
1.79394,8697.00000
1.89091,14934.00000
1.98788,55993.00000
2.08485,96796.00000
2.18182,103137.00000
2.27879,99400.00000
2.37576,93195.00000
2.47273,88015.00000
2.56970,83459.00000
2.66667,79373.00000
2.76364,76309.00000
2.86061,73225.00000
2.95758,70581.00000
3.05455,68633.00000
3.15152,66269.00000
3.24848,64289.00000
3.34545,61873.00000
3.44242,60261.00000
3.53939,58288.00000
3.63636,57191.00000
3.73333,55865.00000
3.83030,54289.00000
3.92727,52336.00000
4.02424,51041.00000
4.12121,50056.00000
4.21818,49044.00000
4.31515,47787.00000
4.41212,47225.00000
4.50909,45120.00000
4.60606,44294.00000
4.70303,43786.00000
4.80000,42323.00000
4.89697,42054.00000
4.99394,40847.00000
5.09091,39922.00000
5.18788,38960.00000
5.28485,38752.00000
5.38182,37506.00000
5.47879,36263.00000
5.57576,35938.00000
5.67273,35340.00000
5.76970,34553.00000
5.86667,33760.00000
5.96364,33134.00000
6.06061,32846.00000
6.15758,31666.00000
6.25455,31277.00000
6.35152,30694.00000
6.44848,30127.00000
6.54545,29056.00000
6.64242,29138.00000
6.73939,28468.00000
6.83636,27807.00000
6.93333,27550.00000
7.03030,26557.00000
7.12727,26333.00000
7.22424,25948.00000
7.32121,25191.00000
7.41818,24799.00000
7.51515,24660.00000
7.61212,24015.00000
7.70909,23751.00000
7.80606,23414.00000
7.90303,22923.00000
8.00000,22338.00000
8.09697,22072.00000
8.19394,21567.00000
8.29091,21515.00000
8.38788,20847.00000
8.48485,20693.00000
8.58182,20308.00000
8.67879,20094.00000
8.77576,19836.00000
8.87273,19250.00000
8.96970,18887.00000
9.06667,19063.00000
9.16364,18650.00000
9.26061,18060.00000
9.35758,17681.00000
9.45455,17521.00000
9.55152,17334.00000
9.64848,17002.00000
9.74545,16920.00000
9.84242,16425.00000
9.93939,16263.00000
10.03636,15984.00000
10.13333,15612.00000
10.23030,15231.00000
10.32727,15364.00000
10.42424,14848.00000
10.52121,14853.00000
10.61818,14583.00000
10.71515,14329.00000
10.81212,14098.00000
10.90909,13852.00000
11.00606,13734.00000
11.10303,13568.00000
11.20000,13187.00000
11.29697,13019.00000
11.39394,12875.00000
11.49091,12853.00000
11.58788,12541.00000
11.68485,12454.00000
11.78182,12053.00000
11.87879,11848.00000
11.97576,11902.00000
12.07273,11860.00000
12.16970,11462.00000
12.26667,11410.00000
12.36364,11239.00000
12.46061,11086.00000
12.55758,10886.00000
