Distance_(microns),Gray_Value
0.000000,491.000
0.008229,819.750
0.016459,1248.111
0.024688,1727.333
0.032918,2324.556
0.041147,3214.111
0.049377,4728.167
0.057606,7019.333
0.065836,10305.889
0.074065,14871.750
0.082295,20826.111
0.090524,27874.223
0.098754,35574.668
0.106983,43885.555
0.115213,52531.777
0.123442,60009.750
0.131672,63715.109
0.139901,63650.527
0.148131,60433.000
0.156360,54336.223
0.164590,47494.777
0.172819,40537.082
0.181049,33520.668
0.189278,26640.195
0.197508,20431.666
0.205737,15349.861
0.213967,11583.500
0.222196,8909.250
0.230426,6827.333
0.238655,5189.111
0.246885,3971.333
0.255114,3113.000
0.263344,2435.333
0.271573,1882.917
0.279803,1397.278
0.288032,1006.056
0.296262,753.000
