Distance_(microns),Gray_Value
0.000000,182
0.008229,255
0.016459,380
0.024688,566
0.032918,834
0.041147,1191
0.049377,1640
0.057606,2255
0.065836,3144
0.074065,4527
0.082295,6526
0.090524,9365
0.098754,13084
0.106983,17331
0.115213,22047
0.123442,27291
0.131672,33271
0.139901,40068
0.148131,46764
0.156360,51806
0.164590,54425
0.172819,54237
0.181049,51535
0.189278,47060
0.197508,42148
0.205737,37238
0.213967,32165
0.222196,26358
0.230426,20247
0.238655,14702
0.246885,10316
0.255114,7122
0.263344,4967
0.271573,3456
0.279803,2426
0.288032,1748
0.296262,1361
0.304491,1155
0.312721,1047
0.320950,936
0.329179,845
0.337409,759
0.345638,697
0.353868,631
0.362097,584
